lat,lon,time,spatial_ref,SPEEDLML
33.5,-122.5,2015-08-14 16:00:00,0,0.0
33.5,-122.5,2015-08-14 17:00:00,0,0.0
33.5,-122.5,2015-08-14 18:00:00,0,0.0
33.5,-122.5,2015-08-14 19:00:00,0,0.0
33.5,-122.5,2015-08-14 20:00:00,0,0.0
33.5,-122.5,2015-08-14 21:00:00,0,0.0
33.5,-122.5,2015-08-14 22:00:00,0,0.0
33.5,-122.5,2015-08-14 23:00:00,0,0.0
33.5,-121.875,2015-08-14 00:00:00,0,0.0
33.5,-121.875,2015-08-14 01:00:00,0,0.0
33.5,-121.875,2015-08-14 02:00:00,0,0.0
33.5,-121.875,2015-08-14 03:00:00,0,0.0
33.5,-121.875,2015-08-14 04:00:00,0,0.0
33.5,-121.875,2015-08-14 05:00:00,0,0.0
33.5,-121.875,2015-08-14 06:00:00,0,0.0
33.5,-121.875,2015-08-14 07:00:00,0,0.0
33.5,-121.875,2015-08-14 08:00:00,0,0.0
