lat,lon,time,spatial_ref,precipitation
32.75,-124.25,2017-02-01 00:00:00,0,0.0
32.75,-124.149994,2017-02-01 00:00:00,0,0.0
32.75,-124.049995,2017-02-01 00:00:00,0,0.0
32.75,-123.95,2017-02-01 00:00:00,0,0.0
32.75,-123.85,2017-02-01 00:00:00,0,0.0
32.75,-123.75,2017-02-01 00:00:00,0,0.0
32.75,-123.649994,2017-02-01 00:00:00,0,0.0
32.75,-123.549995,2017-02-01 00:00:00,0,0.0
32.75,-123.45,2017-02-01 00:00:00,0,0.0
32.75,-123.35,2017-02-01 00:00:00,0,0.0
32.75,-123.25,2017-02-01 00:00:00,0,0.0
32.75,-123.149994,2017-02-01 00:00:00,0,0.0
32.75,-123.049995,2017-02-01 00:00:00,0,0.0
32.75,-122.95,2017-02-01 00:00:00,0,0.0
32.75,-122.85,2017-02-01 00:00:00,0,0.0
32.75,-122.75,2017-02-01 00:00:00,0,0.0
32.75,-122.649994,2017-02-01 00:00:00,0,0.0
32.75,-122.549995,2017-02-01 00:00:00,0,0.0
32.75,-122.45,2017-02-01 00:00:00,0,0.0
32.75,-122.35,2017-02-01 00:00:00,0,0.0
32.75,-122.25,2017-02-01 00:00:00,0,0.0
32.75,-122.149994,2017-02-01 00:00:00,0,0.0
32.75,-122.049995,2017-02-01 00:00:00,0,0.0
32.75,-121.95,2017-02-01 00:00:00,0,0.0
32.75,-121.85,2017-02-01 00:00:00,0,0.0
32.75,-121.75,2017-02-01 00:00:00,0,0.0
32.75,-121.649994,2017-02-01 00:00:00,0,0.0
32.75,-121.549995,2017-02-01 00:00:00,0,0.0
32.75,-121.45,2017-02-01 00:00:00,0,0.0
32.75,-121.35,2017-02-01 00:00:00,0,0.0
32.75,-121.25,2017-02-01 00:00:00,0,0.0
32.75,-121.149994,2017-02-01 00:00:00,0,0.0
32.75,-121.049995,2017-02-01 00:00:00,0,0.0
32.75,-120.95,2017-02-01 00:00:00,0,0.0
32.75,-120.85,2017-02-01 00:00:00,0,0.0
32.75,-120.75,2017-02-01 00:00:00,0,0.0
32.75,-120.649994,2017-02-01 00:00:00,0,0.0
32.75,-120.549995,2017-02-01 00:00:00,0,0.0
32.75,-120.45,2017-02-01 00:00:00,0,0.0
32.75,-120.35,2017-02-01 00:00:00,0,0.0
32.75,-120.25,2017-02-01 00:00:00,0,0.0
32.75,-120.149994,2017-02-01 00:00:00,0,0.0
32.75,-120.049995,2017-02-01 00:00:00,0,0.0
32.75,-119.95,2017-02-01 00:00:00,0,0.0
32.75,-119.85,2017-02-01 00:00:00,0,0.0
32.75,-119.75,2017-02-01 00:00:00,0,0.0
32.75,-119.649994,2017-02-01 00:00:00,0,0.0
32.75,-119.549995,2017-02-01 00:00:00,0,0.0
32.75,-119.45,2017-02-01 00:00:00,0,0.0
32.75,-119.35,2017-02-01 00:00:00,0,0.0
32.75,-119.25,2017-02-01 00:00:00,0,0.0
32.75,-119.149994,2017-02-01 00:00:00,0,0.0
32.75,-119.049995,2017-02-01 00:00:00,0,0.0
32.75,-118.95,2017-02-01 00:00:00,0,0.0
32.75,-118.85,2017-02-01 00:00:00,0,0.0
32.75,-118.75,2017-02-01 00:00:00,0,0.0
32.75,-118.649994,2017-02-01 00:00:00,0,0.0
32.75,-118.549995,2017-02-01 00:00:00,0,0.0
32.75,-118.45,2017-02-01 00:00:00,0,0.0
32.75,-118.35,2017-02-01 00:00:00,0,0.0
32.75,-118.25,2017-02-01 00:00:00,0,0.0
32.75,-118.149994,2017-02-01 00:00:00,0,0.0
32.75,-118.049995,2017-02-01 00:00:00,0,0.0
32.75,-117.95,2017-02-01 00:00:00,0,0.0
32.75,-117.85,2017-02-01 00:00:00,0,0.0
32.75,-117.75,2017-02-01 00:00:00,0,0.0
32.75,-117.649994,2017-02-01 00:00:00,0,0.0
32.75,-117.549995,2017-02-01 00:00:00,0,0.0
32.75,-117.45,2017-02-01 00:00:00,0,0.0
32.75,-117.35,2017-02-01 00:00:00,0,0.0
